Author.ID,Text_nolink,Assigned_Topic
1153811176373084160,How do you feel about the .3 mg/L fluoride in Fiji? Looks like theres .7 in tap water,7
1587090972743196672,All from fluoridated water.,4
1597098630506217472,"when lithium-ion batteries burn or are damaged, they can release toxic substances. Here are some of the potential hazards:

1. Hydrogen Fluoride (HF): This gas can be formed from the breakdown of the lithium hexafluorophosphate (LiPF6) commonly used in battery electrolytes.…",4
1479065024563920896,"As you can see, my reason to avoid fluoride has no note

I suggest you use this reason to communicate further on :-)

Thx !",4
1516493709566742528,It’s the Fluoride….,4
720787436889055232,Ahhh yes it is always coincidence. BTW another question that you never answered yesterday was whether or not you also believe in mass water fluoridation.,4
3129479151,Fluoride. The song will explain more,4
1457552909219123200,Uhm no. That’s not true. Remember the hanging chads?  The vaccine issues  has been around for decades much like the fluoride issue that has recently come to light.,2
1474474508631232512,Do you make any fluoride free toothpaste?,0
1733590798787018752,Fluoride!,4
85216763,I never post twice on a thread but we have to acknowledge JFK jr is going to destroy the criminal FDA. I think he will remove the fluoride in our water and remove the poison in our food. It’s not an understatement to say our only hope is Donald Trump because JFK is in his corner,7
2488156311,Fluoride in the water,4
2488156311,Fluoride in the water?,4
1519473869802786816,"Is it to replace the fluoride in our drinking water with narcan? 👀😹

I look forward to hearing more approaches to taming this beast. 🤝",4
2885600041,"BREAKING:

""RFK Jr. proposes replacing fluoride in the water supply with DMT. Every household will receive 100 grams of Peganum Harmala seeds each month!""",2
3060766775,The Bobbit movement .. Mp VA fluoride and comfort care for unsuccessfully aborted babies,4
3060766775,The Bobbit movement .. Via Mp VA fluoride and comfort care for unsuccessfully aborted babies,4
1766566331548139520,Because fluoride,4
1708223429973848064,i remember what state fried by fluoride lives in because vermont and nh look like theyre 69ing eachother,6
1773495432620224512,wait till you hear what they think about fluoride in the water,4
1456975643162202112,"Fluoride in the water messes with the Pinal gland, which prohibits direct connection with God. They don’t want us to be one with God.",7
1456975643162202112,"Processed foods, vaccines, drugs, chem trails, fluoride; all designed to make us sick.  I’m so glad RFK is here to point this country back on track to health.",3
