Author.ID,Text_nolink,Assigned_Topic
1598274481256075264,"How to increase IQ 

1. consume Iodine from seaweed, dairy or supplement 

2. Do activities with your left hand 

3. Juggle / play an instrument 

4. Meditation / reading 

5. Semen retention

6.  Detox from dopamine, heavy metals, parasites and especially fluoride 

7.  Increase…",7
865055467,"Good morning! Thanks for sharing these dental care tips. It's important to brush for 2 minutes, use fluoride toothpaste, and clean all tooth surfaces. Taking care of our teeth is so crucial for our overall health! 😁🦷",4
1843487116053061632,"As an alternative, you can also try using a fluoride free natural toothpaste and dip your tooth brush in baking soda before applying the toothpaste. That way, the baking soda is distributed more evenly with the natural paste as a carrier for a cleaner feeling mouth and smile.",4
1391582450711736320,Sign up for the next study they do on fluoride and IQ level. You are an important data point 🥰,7
22600289,"If you can handle the redness, put some toothpaste on it.  The fluoride will help dry it out.",0
1586447709975764992,Fluoride is a good thing btw,4
1852612379365814272,Binx doesn't drink fluoride water I support her now #fishtanklive,4
1770532012538966016,"i work locally talking at town commision meetings&amp;2neighbors.The President doesnt affect local money laundering,but me/anyone gently bringing light to it CAN make changes. Already has!fluoride is being removed &amp; $lowering!Many factors contributed,Shining a light,educating-is one!",4
3796733386,"This Brett’s fluoride mouthwash feels just as effective as the Corsodyl’s my dentist recommended 

(no, it’s not because it’s 1/3rd of the price of the corsodyl😭)",0
1814858616647614464,"We are God’s like Christ. 

God gave us special abilities. 

The dark forces kept us asleep and calcified our pineal gland with fluoride so we can’t have these abilities. 

Now that changes because the dark forces are terminated. 🙏🌎❤️",6
1632478189854310400,"One of the good things of mass immigration is, that immigrants don't like authoritarian gov. most have fled them so they are inviting a more opposed and fluoride free population in, that will make a stand. I would bet 99% of them eat meat !!!!",4
814594242584707072,"""Okay, give me a schtickle of fluoride.""🤣🤣",4
1703496705063231488,"Lucky for him,   is going to take the fluoride out of our drinking water and make it healthy again #Trump2024 #MakeAmericaHealthyAgain",4
418949967,"For Muslim parents with children who have cavities:

Silver diamine fluoride treatment is a low-cost, effective, non-invasive treatment for cavities in young children that avoids the trauma of installing crowns, drilling extensively for fillings, and extraction.

Our daughter…",7
1847675248000585728,I’d rather have my council estate filtered water that has fluoride in kind regards a patriot to the UK,4
1816410735293194240,"Recently I have been buzzing out on my psychic abilities. I think drinking fluoride free water has helped to keep my pineal gland free from calcification. I think we all have psychic abilities btw, and my favorite psychics are Tyler Henry and Kevin Cruikshank.",6
1715145038588518400,Answer to my prayers!!  My daughter is allergic to fluoride and have to be careful.  We have a whole house reverse osmosis system.  I can’t wait till the day we no longer have to worry!!!,4
1813677350816514048,Yes! Our county fought fluoride addition to water and won! Let’s do this federally!,4
1594867938158338048,I stopped using fluoride toothpaste and EARELY have sensitive teeth anymore.  Dentist has said teeth look fine past two visits and doesn’t pressure me on fluoride.,4
1840964755189874688,I’m lucky enough to have my own water well but I’ve pulled fluoride out of my house. I now make my own tooth paste which has actually helped remineralize my teeth,4
1812293913522089984,"I am 54 y/o.  I grew up thinking fluoride was good for us.  My son, 22 y/o,  started telling me about the danger of fluoride 4 or 5 years ago.  Thank you RFK for exposing this danger.   I am sorry I didn't know more about you before you endorsed Trump, you have my attention now!",6
621816317,Fluoride Free Pineals for all 👁,4
1744795312126939136,If we can knock fluoride out of the water in a record 70 years timeframe were in full DOGE mode!,4
1674411883019771904,"This is good. With modern dental hygiene, fluoride is no longer necessary",4
126717274,I started making my own bread. Look for alternatives than the drugs dished out. Maybe we should all now switch to getting behind the MAHA campaign with Trump and RFK Jr. swapping health tips. Fluoride is the first to go.,4
1812280827751137280,"Win!!! Thank goodness somebody is listening! When I go to the dentist I ask for NO fluoride ! they say oh , you are one of them! I say yup I am!!",1
120336727,Good. We left fluoride behind for hydroxyapatite and the kids (and I) suddenly have no cavities in the past year…after years of having them. 🤔 We also filter all our house water to remove fluoride.,7
40032780,Remove the damn fluoride already!  Thank you Bobby!! 💪🏻,4
704240354,"FINALLY.... THANK YOU!!!! 👍🏼 
RID OUR WATER OF #FLUORIDE !!!",5
1612169680227024896,"This is huge for our health and I can’t wait. Fluoride kills testosterone in young men so watch how people demeanor change after fluoride and other filth is removed from our daily used essentials. 

Make men men again.",4
1585856761902383104,I’m for it!  Grew up on a ranch without fluoride. Regular dental exams &amp; prompt follow up has kept my mouth just fine.,4
2830244660,I like fluoride in the water for your teeth.,4
791897084249071616,"Im totally down with the fluoride, should have been done LONG ago. But, can we go easy on the chlorine removal. I can tell ya first hand, Cryptosporidium (Crypto) is not your friend 🤣",4
819798586980347904,"Praise God! 
Our family has had to buy fluoride water filtration systems for 16 years! Let’s make water healthy again!!",4
1605011525495754752,Woohoo!!! We've been buying filters to remove fluoride for too many years!,7
1585993557210439680,My mother was always anti-fluoride. She would be so happy to hear this.,4
1666386244677320704,Drinking soda is a choice.  Fluoridated municipal water is not something all people have the means to avoid.  Removing it is a great first step.,4
707009323470299136,"What if I told you that countries with no fluoride require a higher number of dental visits.

That fluorinated water in the US reduces cavities and gum disease by 25% on average.",7
808287562800439296,"There was an old used book store in Easton where i happened upon a flyer from the 60s warning about the communist plot of fluoridated water.  

Thanks to fluoride, i have only 2 cavities.   My parents, growing up pre-fluoride, spent every weekend in dentist’s chairs as kids",7
2709905450,"I generally prefer topical medicines rather than ingested ones.  So I use fluoridated toothpaste, and drink bottled spring water.  It hasn’t killed me yet. 😂",0
119239775,Fluoride in the right quantity literally protects your teeth,4
364460820,"All the ignorant and foolish comment aside, tooth decay dropped, precipitously as soon as fluoride was introduced to drinking water. It’s one of the great scientific accomplishments the country has ever seen.",3
3139352364,"While RFK Jr. and Trump navigate FaceTime and fluoride, let's focus on constructive dialogue for public health—it's less toxic than Twitter wars! 😂💧📱",1
1586734167735341056,"This act alone will change America significantly and for the better.
I have never heard a compelling case for putting fluoride in the water.",4
1149111394090070016,"You realize this was/is one of the main reasons the British have reputations for bad teeth, slow adoption of fluoride in their water supply. It’s by far a net positive",4
1345303050009735168,I’ve been fluoride free for 25 years &amp; raised my kids to understand the dangers of fluoride &amp; we all have good oral health,7
1846633021581283328,"After I found out about fluoride, I stopped using traditional toothpaste. I'm glad Bobby is helping rid us of this poison.",5
1411902768,Actually getting rid of unnecessary fluoride is really smart.,5
1643002373265039360,"I get a fluoride treatment every 6 months at my dentist. Everyone just assumes it’s bad for you, and it’s not.",1
17744526,Me too.  Spring water and fluoride free toothpaste for over 14 years.  Teeth are fine - no cavities.,4
768448265419317248,"When my kids were little, the pediatrician would prescribe fluoride if you lived in a town where they didn’t fluoridate the water.  Seems like people who actually went to medical school, not law school and did *their own research*, think it’s important.",1
1104836772117114880,Removing fluoride from water removing pharmacy advertisements from TV. Cutting government size by 70 percent tons of deadweight. Lower corporate taxes = more jobs. Tariffs on china make it so they don’t keep stealing us companies IP. Drill into the Alaska reserve make us dominat,6
1710526099359145984,"Use tomms toothpaste with no fluoride.  No cavities.  No caps, no fillings.",7
986813605856374784,Fluoride lives matter!!!,4
3024873907,It’s actually not. Removed fluoride from my life years ago and have had no problems.,4
1695212723728965632,Wish I still had well water!!!! Stopped drinking and brushing teeth with city water (filtered) went to bottled water and non fluoride toothpaste… the benefits of removing fluoride … your body will thank you!,4
1302492031294599168,"Fake news ^

Well water my entire life, one cavity. Consistently use “low fluoride” toothpaste. Dentist supports fully. 

Brush your teeth and prioritize hygiene.",4
3324518640,"Yes, we should absolutely follow Europe’s lead on health issues. Start with universal healthcare, and then we can look at fluoridation.",4
1297179819818573824,This is……..fabulous!! . About time someone stands up to making our kids and family healthy. Fluoride is horrible for the body. Do your research.,7
707090471412039680,I stopped drinking water with fluoride in it 22 yrs ago. I don’t trust anything in our drinking water. I also have a sense of calm knowing RFK JR will be tackling the corruption within our health department.,4
195251002,There are zero issues with fluoridated water.,4
1727927793051394048,Removing fluoride from water could be a huge step toward better public health. 💪🏻,4
1433647445314052096,I lived in a city without fluoride in the water. I used fluoride drops with my children. They are adults now. No cavities still.,7
1097985886426296320,Why? They can use hydroxyapatite. It has been proven to be just as effective as fluoride in treating tooth decay without poisoning people.,3
1247641724949655552,"Fluoride has a beneficial topical effect in the mouth for all people who have  natural teeth. Ideally, it is present at low levels, day-long.
It accelerates remineralisation of enamel by salivary calcium.",1
2716560946,"Try harder! My 90 yr old dad is proof... never used fluoride still has all his teeth! We call him a caveman! He is a Veteran &amp; a Farmer! I know many dentists that agree! Try coconut oil for awhile &amp; a clearer mind, soul &amp; spirit ... ""If you know... You Know &amp; you can't UNKNOW""",4
1443439343973109760,Been fluoride free now for going on one month it really makes a huge difference your brain is much better.,4
1734610466868207616,Makes me so happy to hear this. Fluoride also shuts down the pineal gland.,6
711058058932170752,"Please read the first sentence of the link you just posted. 

Yes, too much fluoride is bad. Too much water is bad. Too much salad is bad. 

No water systems are injecting fluoride at levels that would damage IQ. But they are dramatically improving overall health.",7
1518446554679369728,"Not just Trump, but you’re also getting RFK JR who will take out fluoride from the water and ban seed oils, and ELON who will make government more efficient and accountable. 

No brainer",1
1723264480409214976,In Europe only 15 milion out of 750 milion people have fluoride in water. Europeans have better teeth than Americans and overall are in better health.,4
64362678,"RO is life

Also nano HA works better than fluoride in toothpaste",0
1557461570288058368,Do. It. Floor. Ih. Date. Fluoride good. Fluoride good.,4
1723264480409214976,"I'm from Europe, and here nearly no country puts fluoride in water. We have better water than the entire world(the sink water is often better to drink than the bottled water).",5
1821222819428290560,Fluoride is essential for bones and teeth,4
136139839,The Science Versus podcast did an episode on fluoride - it linked to many studies showing the benefits of fluoride. Go find it there.,4
1441825126132039680,"If you want your precious fluoride, you can add it to your tap water once it's removed. RFK is simply giving us a choice in what we put in our body.",4
1824980484386127872,"Imagine a world without fluoride, pesterside vaxs chemicals toxins in our water land and air just that alone will be paradise and that's going to happen under a trump presidency 
Won't that be great we'll even have real journalists reporting truths 
Ncswic 🔥",6
3687426618,"I was wondering why infant water at Walmart stressed “fluoride free” Thank you for bringing this to public attention, I will keep purchasing the fluoride free water for my Grandson!!",3
167217147,"Awesome!!!

The fluoride added in drinking system is processed unlike the fluoride found in Nature",4
1252109526532145152,Everyone needs to embrace this. Cut out fluoride from drinking water. Push for grass fed beef and sustainable meat packaging and processing plants. Cut out all seed oils. Ban dyes like Red 40. Push for regenerative agriculture here and abroad. #Kamala2024,2
772581784311640064,I remember my mom being upset when they announced fluoride being put in our water. Removing it is a good thing.,4
1173665822973337600,"In England some areas have have fluoride in their water for 70 years and some haven't. The dental health of the flourised areas was far better than those non fluorised areas, it works.
There is however absolutely no difference in any of the side effects Kennedy claimed.",4
1398035113502384128,"Fluoride was put in the water to help I have cousins who live in a different state who had less fluoride than  I had it 
I have stronger teeth than my cousins because I had more fluoride in the water I drink as a child",4
1027234081,"And that's why you need the government to control it. The articles you posted are clear. Fluoride at high doses are bad, and there is no harm when administered at therapeutic levels. In fact, the articles list the benefits at low doses",4
1806629240130977792,Just had my water tested. No fluoride. 🍻,4
1466114655919775744,Actually a proper diet without tons of sugar will allow you to have teeth without fluoride.,4
1755956525372186624,"You feeling bad  for prescribing it??? I’m glad we never listened to our dentist who gave my children fluoride pills, glad they didn’t take them.",1
1608920288615342080,We need fluoride for our teeth!,4
1824841165771853824,I started drinking only distilled water (remineralized with concentrated seawater) about 12 years ago and I can attest my cognition is far sharper than it was when I was ingesting fluoride every day.,4
23300906,I've recently switched to no fluoride toothpaste trying to reduce chemicals in my daily life!!,7
1149513690,"Yes. This is good. If you  want fluoride, go to the dentist.",1
1817622353410654208,I am perfectly and 100% ok with drinking water without fluoride in it just like basically every single other country and almost every single human being ever since the dawn of time.,4
1587543128906649600,"Agree. We have been on well water for years &amp; dentist gave us fluoride tablets. I never remembered to give them to kids, probably a blessing in hindsight",4
1775216423284953088,Luckily here in my town it was decided long ago that fluoride additives to our water is against the law 🙏,7
1518227657216962560,"Europe doesn’t have fluoride in water and they have less cavities than in the US.  Kennedy, who was thought to be a kook, is actually pretty trustworthy IMO after listening to him.",7
1515738231291228160,"Fluoride is poisonous 
RFK Jr is correct",4
864114065848885248,Or take Lactobacillus Salivarus with fluoride free products and your teeth will be better than ever.,4
2994003066,"We've had well water the past 25 years. My son is now 22, &amp; went his entire childhood without a single cavity. (Got one small cavity at 19). I grew up on Lake Michigan/Chicago, fluoridated water; LOTS of cavities as a kid. With well water, I've only had 1 in 25 years! #MAHA",7
4652647754,My Kid have been cavity free 10 years running. We DON'T use fluoride in our house. We filter it out of the water in the house as well. When I remarried my wife's kids always had cavities. So she was floored how my son doesn't get cavities. Eats the same foods. Drinks the same…,7
49140512,"Encouraging people to adopt diets low in substances that are known to rot the teeth and cause other diseases such as diabetes is a safer foundation upon which good dental and general health can be built, than is adding arbitrary amounts of potentially toxic fluoride to our water.",4
900165835817463808,It’s very good. Sweden and many other European countries don’t put fluoride in the water.,4
1079376614151147520,"Good, many countries in the EU, including my country Sweden, do not add fluoride in our drinking water.",4
14589287,I grew up drinking fluoridated bottled water and dentists have always remarked at how strong my teeth are.,1
1819065730345979904,Thank God and thank you Robert F. Kennedy Jr. and Donald J Trump for attempting to remove the fluoride poison from our drinking water.,5
2376708672,"Finally, the removal of Fluoride. 🙏",4
1656480488411009024,"This is very good ! If you want fluoride, put it in your water and use toothpaste with fluoride in it. Most toothpaste has fluoride.",0
4614802471,"i shouldn't say it's just people who don't brush bc some people legitimately have genes that make their teeth weaker. either way, having fluoride in water is a good thing",4
1446637564723560448,I got rid of mine a few years back and now only drink bottled fluoride free water.,5
833057022832701440,"Right? I heard he has a plan to cut down on sugar and alcohol intake, which is a far worse health problem than fluoride. I think he should do salt and other horrible ingredients in our foods, too. I hope they take a strong look at it at least.",7
1686478508409626624,"Xyliwhite is great, as are most non-fluoride, xylitol based toothpaste. Or you can brush your teeth with straight xylitol. Great for gums &amp; teeth. 

I've avoided fluoride for years. As far as I know, there's only one water filter that gets rid of fluoride and that's Zerowater.",4
1684651175029727232,My young cousins have been exposed to fluoridated water beginning in the womb.  They are very bright.,2
1585986787712942080,I cut out fluoride toothpaste 4 years ago and aluminum in deodorant. You can brush with coconut oil and it kills candida as well. Use hydrogen peroxide for whitening.,4
