,Text,GPT_Sentiment,BERT_Sentiment,Source,T_Sentiment
1017,@Coachjv_ Fluoride,Neutral,neutral,Fluoride,2
4775,@SeedOilDsrspctr They are lunatic they don't do their own research  they just believe the FDA CDC like they are the only option in the world We are surrounded by Fluoride idiots I knew it I never drink city water or shower in it always well water I kept thinking there must be something n water,Negative,negative,Fluoride,1
2177,@FlavorfulTruth @CBSNews this coming from a fluoride drinker lol,Negative,neutral,Fluoride,1
5026,@Sureasyoureborn Oh and no fluoride on water,Neutral,neutral,Fluoride,1
1533,"@CRYPTO_WOLF_OF @elonmusk @joeroganhq @joerogan Get ready for higher prices at the supermarket. More crime. Millions losing health insurance. Schools losing grants. An attack on Social Security. Oh, and no fluoride in water = rotting teeth.",Negative,negative,Fluoride,3
4567,@royal_bobby24 @kirawontmiss dumbass thinks fluoride in water is a good thing,Negative,negative,Fluoride,1
2347,"@gregmushen No, we know tons about chronic low dose usage, there's plenty of countries that have no fluoride, even some counties and such, and there's never been any substantive diff in 70+ years. Verboten my ass.",Negative,negative,Fluoride,1
270,@AnnieWaldman Get off the fluoride and wake up.,Negative,neutral,Fluoride,1
4050,@PeterSweden7 They say fluoride calcifies the pineal gland,Neutral,neutral,Fluoride,1
5307,"@TobiasIlskov @RobertKennedyJr What if you just brush your and your children's teeth with fluoride,  then spit it out",Neutral,negative,Fluoride,2
3379,@LocalPoliticsis Fluoride.,Neutral,neutral,Fluoride,2
4065,@phatosas @GoWest1984 @EWErickson They don't put calcium fluoride in the water. They put sodium fluoride from industrial waste (fertilizer pmants ect). It is an inorganic compound. Calcium fluoride is a mineral. The two are not the same.,Neutral,negative,Fluoride,2
597,@boud_tilda @ShadowofEzra There is zero scientific evidence or proof that drinking fluoridated water benefits teeth. It is a topical process and does not belong poisoning our life giving water,Negative,negative,Fluoride,1
1301,@Coachjv_ Fluoride,Neutral,neutral,Fluoride,2
6070,"soon our waters will be fluoride free our fryers will be filled with tallow, there will be no wars, the fed will be ended, Americas golden timeline starts now",Positive,positive,Fluoride,1
330,"@AnyaWalsh14 @keithedwards Seriously?  Fluoride is a poison.  People have been living on Wellwater without fluoride in it for decades.  You’ll be OK sweetie pea, bless your heart.",Negative,negative,Fluoride,1
1799,"@dr_andrealove Then why have so many other countries banned things such as adding fluoride to their drinking water, poptarts, etc.?",Neutral,negative,Fluoride,1
3913,@nytimes Kennedy’s plan to remove fluoride from public water is raising eyebrows! 🤔💧 This could have major implications for public health.,Neutral,negative,Fluoride,2
5711,Are there any specific fruits or vegetables that are particularly effective in reducing fluoride levels?,Neutral,neutral,Fluoride,1
1749,"@DougWahl1 It's not good because the dentist says the fluoride in our drinking water is good for our oral health.  Yes, I read that in the article a few days ago",Neutral,negative,Fluoride,3
37,@_markalan @keithedwards It’s not going to kill you. You still have your fluoride fix In toothpaste if your desperate,Neutral,neutral,Fluoride,1
1129,@Coachjv_ Fluoride,Neutral,neutral,Fluoride,2
729,@catholic_dan7 @Bdubs1776 Nope. I've had fluoride in the water and never needed intravenous antibiotics. Neither did my neighbours🤔,Neutral,neutral,Fluoride,2
878,@cnnbrk I’ve refused fluoride for my family for the last 20 years. Sounds GREAT to me.,Positive,neutral,Fluoride,1
485,@BaeBielle What about all the European countries who banned fluoride too? Do they all have decaying teeth too compared to us Americans or were you stupid to realize other countries banned this nonsense?,Negative,negative,Fluoride,3
5922,"In an interview, RFK Jr. shared that he spent two days last week with Trump and mentioned that the incoming administration intends to propose removing fluoride from drinking water on January 20, along with releasing information about vaccines (NPR).",Neutral,neutral,Fluoride,2
4012,"@PeaceLoveArts @HJBCFRE @NPRinskeep Colgate, Crest, or whatever other brand, most likely already has fluoride in it. Not sure why you need some expensive prescription toothpaste.",Negative,negative,Fluoride,2
5071,"@tbrewer06 @AnnieWaldman I’m on well water, and I Stopped using fluoride toothpaste two years ago. The dentist commented on the density of my teeth improving and I no longer have hot/cold sensitive teeth. My friends that also use fluoride free toothpaste have mentioned the same improvements. Try it",Positive,positive,Fluoride,1
2849,"@JWoolard01 @DWincheste55011 @KevanYoung2 @CadizFrom89205 So, the guy that is against poisoning of food supply, got fluoride removed from local water supply, speaks for raw milk legalization, gets raided 2 days after holding a massive election watch party at his grocery store? Not at all suspicious 🤔 😒",Negative,negative,Fluoride,2
2900,@keithedwards Anybody who still believes in water fluoridation at this point is an NPC,Negative,neutral,Fluoride,1
2378,@guerilla_fit @vhaorik @TobiasIlskov @RobertKennedyJr One thing people are forgetting also is the skin has pores and is VERY absorbent. There’s fluoride in city water. You think at least some fluoride doesn’t get absorbed into the skin when you bathe &amp; shower in it?,Negative,neutral,Fluoride,1
4650,"@SandraXFreedom You should have to take a pill to be able to get pregnant…birth control should be in the water instead of fluoride, an “open source” test should be required to pass with a 95% for the antidote.  Fuck your feelings, we need fewer retards. I bet politicians would fail said test.",Negative,negative,Fluoride,1
1446,"@Coachjv_ It’s fluoride! It’s absolutely terrible in large doses for you, and actually used in brainwashing as well. There’s a lot of dumbing down that happens with large amounts of fluoride when people take excessive amounts of it… which actually is a very small dose. Absolutely terrible… https://t.co/TeEfsaWtfh",Negative,negative,Fluoride,1
2159,@ffff13_9 @MeganBitchell do you have a study that shows the exact mechanism of how community water fluoridation causes lower IQ?,Neutral,negative,Fluoride,2
3476,@MarkELindsay @kevinnbass So glad I listened to my gut when my kids were little and threw away the fluoride they always made me take home!,Positive,positive,Fluoride,1
1948,@ECWDivaFrancine @dhancock110 You are an ECW legend but you worried about Fluoride all the sudden?,Negative,neutral,Fluoride,2
2580,"@ImranCh69812194 @WajahatAli Yes, making sure we can’t get any vaccinations &amp; taking fluoride out of the water, great healthcare reform",Negative,positive,Fluoride,3
1530,@cruzerio9 @DrDC1231 @AnnoyingNope @royal_bobby24 @kirawontmiss Fluoride free toothpaste,Neutral,neutral,Fluoride,2
4439,@RobertKennedyJr IQ Loss? How much fluoride is in that mar a lago water?,Neutral,negative,Fluoride,2
4136,@PrepsAmerican ACT fluoride mouth rinse then spit it out instead of swallowing it.,Neutral,negative,Fluoride,3
4633,@sakahoko7 he'll be replacing the fluoride with lithium at this rate,Negative,neutral,Fluoride,2
4344,"@RobertKennedyJr @realDonaldTrump replace the fluoride in water with ozempic, obesity should not be the American standard",Negative,negative,Fluoride,1
1222,@Coachjv_ Fluoride,Neutral,neutral,Fluoride,2
2426,"@HazelAppleyard_ WTF ,, is it the hormones in force fed chooks? fluoridated water? dropped on the head as a baby?",Negative,negative,Fluoride,1
2087,@EWErickson Fluoride shouldn't be swallowed...,Negative,negative,Fluoride,1
2483,@HongKong_Racing @HKRacingUS @AtTheRaces @SkySportsRacing @SportingLife @ToteRacing @flyToHongKong24 @Hartley_026 Wow fluoride 😱,Neutral,neutral,Fluoride,2
2858,@KAGdrogo Lazy idiots quick web search fluoride and think it's the natural mineral that the water companies are putting in our drinking water. Fluorite is the most mined mineral in the world and from that fluorine is extracted and used to synthetically manufacture the neurotoxin fluoride.,Negative,negative,Fluoride,2
